#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/ 
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
64,Greece,"111,537","+1,882","2,706",+100,"9,989",,"98,842",622,"10,724",260,"2,432,614","233,881","10,401,063",Europe,93,"3,844",4
65,Slovakia,"111,208","+1,982",930,+32,"74,273","+2,535","36,005",253,"20,365",170,"1,104,025","202,174","5,460,779",Europe,49,"5,872",5
66,Honduras,"109,144",+503,"2,930",+3,"48,877",+321,"57,337",128,"10,946",294,"269,711","27,048","9,971,392",North America,91,"3,403",37
67,Venezuela,"103,548",+481,909,+4,"98,521",+491,"4,118",117,"3,646",32,"2,317,442","81,597","28,401,198",South America,274,"31,244",12
68,Tunisia,"100,683","+1,403","3,415",+56,"74,513",+906,"22,755",309,"8,481",288,"473,398","39,877","11,871,321",Africa,118,"3,476",25
69,Myanmar,"95,018","+1,418","2,028",+30,"73,748","+1,147","19,242",,"1,741",37,"1,225,134","22,452","54,565,784",Asia,574,"26,906",45
70,Palestine,"92,708","+2,516",780,+17,"68,250","+1,261","23,678",74,"17,997",151,"704,009","136,666","5,151,324",Asia,56,"6,604",7
71,Bosnia and Herzegovina,"91,539","+1,161","2,812",+39,"56,050","+1,083","32,677",,"27,977",859,"428,822","131,058","3,271,995",Europe,36,"1,164",8
72,Bahrain,"87,432",+162,341,,"85,598",+135,"1,493",12,"50,651",198,"2,088,613","1,209,968","1,726,172",Asia,20,"5,062",1
73,Kenya,"86,383","+1,253","1,500",+16,"67,788","+11,324","17,095",74,"1,592",28,"911,596","16,797","54,270,397",Africa,628,"36,180",60
74,Algeria,"85,927",+843,"2,480",+16,"55,538",+548,"27,909",46,"1,945",56,,,"44,186,036",Africa,514,"17,817",
75,Paraguay,"85,477",+995,"1,796",+13,"60,086",+621,"23,595",145,"11,922",250,"461,111","64,313","7,169,812",South America,84,"3,992",16
76,Denmark,"85,140","+1,605",858,+6,"67,416","+1,330","16,866",38,"14,677",148,"7,653,700","1,319,387","5,800,950",Europe,68,"6,761",1
77,Libya,"84,849",+762,"1,212",+12,"55,304",+592,"28,333",,"12,277",175,"446,019","64,538","6,910,993",Africa,81,"5,702",15
78,Slovenia,"81,349","+1,783","1,592",+45,"59,469","+2,022","20,288",195,"39,128",766,"538,770","259,141","2,079,061",Europe,26,"1,306",4
79,Kyrgyzstan,"73,933",+420,"1,281",+4,"65,589",+400,"7,063",133,"11,253",195,"509,160","77,500","6,569,802",Asia,89,"5,129",13
80,Uzbekistan,"73,431",+96,611,,"70,712",+178,"2,108",177,"2,181",18,"1,377,915","40,918","33,675,127",Asia,459,"55,115",24
81,Ireland,"73,228",+162,"2,080",+6,"23,364",,"47,784",32,"14,760",419,"1,998,479","402,816","4,961,276",Europe,68,"2,385",2
82,Malaysia,"69,095","+1,075",376,+11,"57,917",+948,"10,802",116,"2,123",12,"2,728,936","83,858","32,542,331",Asia,471,"86,549",12
83,Nigeria,"68,303",+343,"1,179",+2,"64,291",+452,"2,833",10,328,6,"779,708","3,743","208,286,509",Africa,"3,049","176,664",267
84,Lithuania,"67,064","+2,448",564,+17,"26,836","+1,558","39,664",132,"24,786",208,"1,290,467","476,933","2,705,762",Europe,40,"4,797",2
85,North Macedonia,"65,231","+1,341","1,847",+22,"41,656",+679,"21,728",138,"31,311",887,"341,261","163,805","2,083,337",Europe,32,"1,128",6
86,Singapore,"58,239",+9,29,,"58,145",+1,65,,"9,921",5,"4,658,858","793,673","5,869,997",Asia,101,"202,414",1
87,Ghana,"51,667",,323,,"50,547",,797,16,"1,648",10,"592,285","18,895","31,346,573",Africa,607,"97,048",53
88,Afghanistan,"47,258",+278,"1,841",+19,"37,302",+276,"8,115",93,"1,203",47,"154,603","3,934","39,297,593",Asia,832,"21,346",254
89,Albania,"40,501",+782,852,+13,"20,484",+572,"19,165",27,"14,080",296,"192,663","66,980","2,876,444",Europe,71,"3,376",15
90,El Salvador,"39,515",+188,"1,134",+5,"36,085",+246,"2,296",33,"6,079",174,"557,544","85,773","6,500,222",North America,165,"5,732",12
91,Norway,"37,371",+402,353,+2,"27,414",,"9,604",34,"6,870",65,"2,333,109","428,932","5,439,351",Europe,146,"15,409",2
92,Montenegro,"36,932",+581,516,+6,"25,866",+457,"10,550",68,"58,800",822,"139,029","221,349","628,100",Europe,17,"1,217",5
93,Luxembourg,"36,429",+627,339,+5,"27,356",+859,"8,734",41,"57,797",538,"1,407,284","2,232,742","630,294",Europe,17,"1,859",0
94,S. Korea,"35,703",+540,529,+3,"28,352",+287,"6,822",117,696,10,"3,131,886","61,065","51,288,151",Asia,"1,437","96,953",16
95,Australia,"27,939",+16,908,,"25,618",+6,"1,413",,"1,090",35,"10,103,629","394,275","25,625,837",Australia/Oceania,917,"28,222",3
96,Finland,"26,422",+540,408,,"18,100",,"7,914",21,"4,766",74,"1,984,815","357,984","5,544,418",Europe,210,"13,589",3
97,Sri Lanka,"26,038",+628,129,+5,"19,032",+728,"6,877",,"1,214",6,"862,446","40,204","21,451,731",Asia,824,"166,292",25
98,Cameroon,"24,487",,441,,"22,177",,"1,869",52,913,16,"149,000","5,555","26,823,500",Africa,"1,095","60,824",180
99,Uganda,"21,612",+203,206,,"9,110",+66,"12,296",,466,4,"635,916","13,722","46,343,760",Africa,"2,144","224,970",73
100,Ivory Coast,"21,389",+28,132,,"21,022",+12,235,,803,5,"221,219","8,300","26,652,760",Africa,"1,246","201,915",120
101,Latvia,"19,307",+930,235,+11,"1,848",+25,"17,224",46,"10,285",125,"650,021","346,282","1,877,145",Europe,97,"7,988",3
102,Sudan,"18,535",+281,"1,271",+6,"10,672",+179,"6,592",,419,29,,,"44,280,101",Africa,"2,389","34,839",
103,Zambia,"17,730",+30,357,,"17,102",+16,271,,953,19,"423,002","22,743","18,599,587",Africa,"1,049","52,100",44
104,Madagascar,"17,513",+172,255,+4,"16,657",,601,16,626,9,"93,734","3,349","27,989,872",Africa,"1,598","109,764",299
105,Senegal,"16,217",+44,335,+1,"15,697",+40,185,7,958,20,"233,510","13,793","16,929,042",Africa,"1,044","50,534",72
106,Mozambique,"15,918",+52,132,,"14,030",+16,"1,756",,503,4,"235,439","7,445","31,622,178",Africa,"1,987","239,562",134
107,Angola,"15,361",+42,352,+1,"8,244",+105,"6,765",14,461,11,"171,247","5,144","33,293,076",Africa,"2,167","94,583",194
108,French Polynesia,"14,897",+181,78,+1,"4,842",,"9,977",26,"52,901",277,"26,355","93,589","281,603",Australia/Oceania,19,"3,610",11
109,Namibia,"14,599",+122,151,,"13,774",+77,674,8,"5,702",59,"159,915","62,458","2,560,371",Africa,175,"16,956",16
