#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
136,Rwanda,"6,747",+88,56,,"5,996",+41,695,,515,4,"671,223","51,251","13,096,812",Africa,"1,941","233,872",20
137,Congo,"6,200",+151,100,+1,"4,988",,"1,112",,"1,111",18,,,"5,579,265",Africa,900,"55,793",
138,Malawi,"6,070",+4,187,,"5,491",,392,4,314,10,"79,223","4,094","19,352,352",Africa,"3,188","103,489",244
139,Guyana,"5,943",+23,156,+1,"5,077",+4,710,8,"7,539",198,"34,038","43,179","788,292",South America,133,"5,053",23
140,Nicaragua,"5,887",,162,,"4,225",,"1,500",,884,24,,,"6,660,465",North America,"1,131","41,114",
141,Mali,"5,836",+22,201,+7,"3,630",+39,"2,005",,285,10,"117,959","5,751","20,512,524",Africa,"3,515","102,052",174
142,Djibouti,"5,733",+5,61,,"5,622",+4,50,,"5,765",61,"95,460","95,985","994,531",Africa,173,"16,304",10
143,Martinique,"5,575",,42,,98,,"5,435",10,"14,861",112,"67,378","179,612","375,131",North America,67,"8,932",6
144,Iceland,"5,564",+7,28,,"5,392",+26,144,3,"16,257",82,"408,658","1,194,009","342,257",Europe,62,"12,223",1
145,Mayotte,"5,551",,52,,"2,964",,"2,535",4,"20,128",189,"28,914","104,844","275,781",Africa,50,"5,303",10
146,Suriname,"5,359",+6,117,,"5,227",+3,15,3,"9,098",199,"22,709","38,553","589,033",South America,110,"5,034",26
147,Equatorial Guinea,"5,185",,85,,"5,058",,42,,"3,642",60,"72,627","51,017","1,423,585",Africa,275,"16,748",20
148,Aruba,"5,056",+7,46,,"4,903",+7,107,4,"47,264",430,"56,300","526,296","106,974",North America,21,"2,326",2
149,CAR,"4,936",,63,,"1,924",,"2,949",2,"1,014",13,"32,711","6,720","4,867,843",Africa,986,"77,267",149
150,Somalia,"4,579",,121,,"3,529",,929,,285,8,,,"16,092,328",Africa,"3,514","132,994",
151,Thailand,"4,237",+28,60,,"3,940",+17,237,1,61,0.9,"1,217,873","17,428","69,880,408",Asia,"16,493","1,164,673",57
152,Burkina Faso,"4,209",+179,71,,"2,940",+30,"1,198",,199,3,,,"21,160,770",Africa,"5,028","298,039",
153,Gambia,"3,782",,123,,"3,647",,12,1,"1,545",50,"27,056","11,056","2,447,149",Africa,647,"19,896",90
154,Curaçao,"3,661",+37,11,,"1,777",+41,"1,873",4,"22,269",67,"28,851","175,492","164,401",North America,45,"14,946",6
155,Togo,"3,266",+15,66,,"2,789",+18,411,,390,8,"161,413","19,293","8,366,216",Africa,"2,562","126,761",52
156,South Sudan,"3,206",,62,,"3,043",,101,1,285,6,"63,753","5,665","11,253,530",Africa,"3,510","181,509",177
157,Benin,"3,090",,44,,"2,972",,74,,252,4,"360,194","29,365","12,266,016",Africa,"3,970","278,773",34
158,Sierra Leone,"2,445",+5,75,,"1,851",+1,519,,304,9,,,"8,050,340",Africa,"3,293","107,338",
159,Guinea-Bissau,"2,444",,44,,"2,337",,63,5,"1,229",22,"33,033","16,608","1,988,971",Africa,814,"45,204",60
160,Niger,"2,322",+64,82,+2,"1,294",+2,946,9,94,3,"53,223","2,164","24,596,976",Africa,"10,593","299,963",462
161,Lesotho,"2,277",+27,44,,"1,340",+21,893,,"1,059",20,"28,015","13,030","2,150,013",Africa,944,"48,864",77
162,Channel Islands,"2,132",+64,48,,"1,317",+26,767,10,"12,211",275,"199,491","1,142,593","174,595",Europe,82,"3,637",1
163,New Zealand,"2,096",,25,,"2,015",,56,,419,5,"1,341,978","268,283","5,002,100",Australia/Oceania,"2,386","200,084",4
164,Yemen,"2,084",+1,606,,"1,384",+1,94,23,69,20,"17,404",578,"30,122,558",Asia,"14,454","49,707","1,731"
165,San Marino,"1,934",+2,51,,"1,608",+33,275,5,"56,943","1,502","21,559","634,760","33,964",Europe,18,666,2
166,Chad,"1,771",+1,102,,"1,608",+1,61,,106,6,,,"16,637,352",Africa,"9,394","163,111",
167,Liberia,"1,676",,83,,"1,358",,235,2,328,16,"35,957","7,035","5,111,280",Africa,"3,050","61,582",142
168,Liechtenstein,"1,566",+52,20,,"1,351",+55,195,16,"41,018",524,"16,453","430,955","38,178",Europe,24,"1,909",2
169,Vietnam,"1,402",+5,35,,"1,246",+5,121,,14,0.4,"1,431,631","14,648","97,738,623",Asia,"69,714","2,792,532",68
170,Sint Maarten,"1,249",+17,26,,"1,099",+24,124,4,"28,980",603,"8,306","192,724","43,098",North America,35,"1,658",5
171,Gibraltar,"1,082",+7,6,+1,"1,036",+4,40,,"32,120",178,"102,705","3,048,893","33,686",Europe,31,"5,614",0
172,Sao Tome and Principe,"1,010",+1,17,,952,+2,41,,"4,570",77,"7,498","33,927","221,002",Africa,219,"13,000",29
173,Mongolia,912,+5,,,384,,528,6,276,,"428,574","129,782","3,302,255",Asia,"3,621",,8
174,Saint Martin,801,,12,,675,,114,7,"20,557",308,"7,838","201,155","38,965",North America,49,"3,247",5
175,Turks and Caicos,769,,6,,741,,22,1,"19,741",154,"10,461","268,541","38,955",North America,51,"6,493",4
176,Taiwan,740,+4,7,,606,,127,,31,0.3,"115,384","4,841","23,836,581",Asia,"32,212","3,405,226",207
177,Burundi,729,,1,,640,,88,,61,0.08,"70,060","5,814","12,049,522",Africa,"16,529","12,049,522",172
178,Papua New Guinea,725,+4,8,,601,,116,,80,0.9,"32,221","3,571","9,023,763",Australia/Oceania,"12,447","1,127,970",280
179,Diamond Princess,712,,13,,699,,0,,,,,,,,,,
180,Eritrea,711,,,,564,,147,,199,,"23,693","6,639","3,568,747",Africa,"5,019",,151
181,Monaco,671,+3,3,,605,+8,63,4,"17,044",76,"51,953","1,319,642","39,369",Europe,59,"13,123",1
182,Comoros,628,,7,,606,,15,,715,8,,,"877,970",Africa,"1,398","125,424",
183,Faeroe Islands,528,,,,506,,22,,"10,787",,"176,383","3,603,477","48,948",Europe,93,,0
184,Mauritius,523,+8,10,,489,+11,24,,411,8,"289,552","227,503","1,272,738",Africa,"2,434","127,274",4
185,Tanzania,509,,21,,183,,305,7,8,0.3,,,"60,497,799",Africa,"118,856","2,880,848",
