#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,"Tests/
 1M pop 
",Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl
100,Uganda,"19,115",+225,191,,"8,840",+8,"10,084",,413,4,"618,783","13,361","46,312,032",Africa,"2,423","242,471",75
101,Zambia,"17,553",+18,357,,"16,779",+24,417,,944,19,"382,915","20,600","18,588,290",Africa,"1,059","52,068",49
102,Madagascar,"17,341",,251,,"16,657",,433,16,620,9,"93,734","3,351","27,974,261",Africa,"1,613","111,451",298
103,Sudan,"16,864",+215,"1,215",+5,"9,964",+56,"5,685",,381,27,,,"44,257,663",Africa,"2,624","36,426",
104,Senegal,"15,960",+33,331,,"15,558",+18,71,3,943,20,"227,139","13,425","16,919,364",Africa,"1,060","51,116",74
105,Mozambique,"15,467",+165,128,,"13,520",+61,"1,819",,489,4,"227,185","7,189","31,602,964",Africa,"2,043","246,898",139
106,Latvia,"15,171",+898,188,+4,"1,719",+33,"13,264",31,"8,080",100,"603,529","321,437","1,877,598",Europe,124,"9,987",3
107,Angola,"14,920",+99,341,+1,"7,617",+100,"6,962",16,448,10,"171,247","5,147","33,270,625",Africa,"2,230","97,568",194
108,Namibia,"14,155",+149,147,+2,"13,355",+16,653,4,"5,531",57,"151,721","59,281","2,559,364",Africa,181,"17,411",17
109,French Polynesia,"13,883",+100,72,+2,"4,842",,"8,969",22,"49,306",256,"26,355","93,601","281,568",Australia/Oceania,20,"3,911",11
110,Guinea,"12,949",+20,76,,"11,922",+20,951,24,975,6,"68,809","5,184","13,274,309",Africa,"1,025","174,662",193
111,Maldives,"12,889",+35,46,,"11,717",+36,"1,126",12,"23,677",85,"150,743","276,915","544,365",Asia,42,"11,834",4
112,DRC,"12,470",+105,333,+2,"11,495",+62,642,,138,4,,,"90,639,159",Africa,"7,269","272,190",
113,Tajikistan,"12,044",+36,86,,"11,437",+42,521,,"1,252",9,,,"9,623,182",Asia,799,"111,897",
114,French Guiana,"11,138",+22,70,,"9,995",,"1,073",1,"36,910",232,"81,880","271,340","301,762",South America,27,"4,311",4
115,Estonia,"10,953",+413,99,+2,"6,497",+445,"4,357",17,"8,255",75,"458,690","345,686","1,326,899",Europe,121,"13,403",3
116,Cabo Verde,"10,570",+44,105,+1,"9,956",+56,509,23,"18,928",188,"102,839","184,158","558,428",Africa,53,"5,318",5
117,Jamaica,"10,541",+53,248,+1,"5,721",+98,"4,572",12,"3,553",84,"111,958","37,742","2,966,424",North America,281,"11,961",26
118,Botswana,"10,258",+266,31,,"7,717",+25,"2,510",1,"4,327",13,"406,978","171,675","2,370,632",Africa,231,"76,472",6
119,Cyprus,"9,673",+220,48,+1,"2,055",,"7,570",15,"7,988",40,"600,572","495,962","1,210,924",Asia,125,"25,228",2
120,Zimbabwe,"9,623",+115,274,,"8,397",+61,952,,644,18,"175,430","11,734","14,950,040",Africa,"1,554","54,562",85
121,Malta,"9,405",+152,125,+3,"7,165",+103,"2,115",18,"21,277",283,"415,971","941,064","442,022",Europe,47,"3,536",1
122,Haiti,"9,256",+8,232,,"7,925",+9,"1,099",,808,20,"34,734","3,031","11,458,632",North America,"1,238","49,391",330
123,Gabon,"9,173",,59,,"9,016",,98,7,"4,083",26,"291,403","129,704","2,246,678",Africa,245,"38,079",8
124,Guadeloupe,"8,344",,149,,"2,242",,"5,953",9,"20,852",372,"74,138","185,275","400,152",North America,48,"2,686",5
125,Mauritania,"8,288",+42,171,,"7,652",+6,465,4,"1,764",36,"98,641","20,995","4,698,255",Africa,567,"27,475",48
126,Cuba,"8,075",+49,133,,"7,497",+27,445,2,713,12,"1,072,107","94,677","11,323,791",North America,"1,402","85,141",11
127,Réunion,"7,836",,39,,"6,660",,"1,137",17,"8,727",43,"48,859","54,415","897,904",Africa,115,"23,023",18
128,Syria,"7,542",+83,399,+8,"3,330",+59,"3,813",,427,23,,,"17,670,072",Asia,"2,343","44,286",
129,Bahamas,"7,482",+13,163,,"5,789",+56,"1,530",1,"18,953",413,"42,464","107,568","394,765",North America,53,"2,422",9
130,Trinidad and Tobago,"6,570",+67,116,,"5,680",+25,774,3,"4,688",83,"36,374","25,957","1,401,333",North America,213,"12,080",39
131,Andorra,"6,534",+106,76,,"5,649",+107,809,20,"84,511",983,"168,635","2,181,142","77,315",Europe,12,"1,017",0
132,Eswatini,"6,329",+57,120,,"5,929",+28,280,11,"5,433",103,"62,213","53,401","1,165,021",Africa,184,"9,709",19
133,Malawi,"6,020",+2,185,,"5,450",,385,4,311,10,"72,845","3,769","19,326,606",Africa,"3,210","104,468",265
134,Hong Kong,"5,948",+81,108,,"5,300",+5,540,7,791,14,"3,994,873","531,118","7,521,630",Asia,"1,265","69,645",2
135,Rwanda,"5,851",+72,47,,"5,345",+28,459,,447,4,"617,258","47,191","13,080,094",Africa,"2,236","278,300",21
136,Nicaragua,"5,784",,160,,"4,225",,"1,399",,869,24,,,"6,656,375",North America,"1,151","41,602",
137,Djibouti,"5,676",+6,61,,"5,576",+1,39,,"5,711",61,"91,250","91,821","993,785",Africa,175,"16,292",11
138,Congo,"5,632",,93,,"4,988",,551,,"1,011",17,,,"5,572,193",Africa,989,"59,916",
139,Belize,"5,423",+88,129,+4,"2,986",+87,"2,308",7,"13,540",322,"29,410","73,429","400,524",North America,74,"3,105",14
140,Martinique,"5,413",,40,,98,,"5,275",16,"14,429",107,"63,774","169,998","375,146",North America,69,"9,379",6
141,Iceland,"5,323",+11,26,,"5,131",+21,166,2,"15,558",76,"385,690","1,127,280","342,142",Europe,64,"13,159",1
142,Suriname,"5,307",+2,117,,"5,185",+1,5,3,"9,014",199,"21,426","36,392","588,760",South America,111,"5,032",27
143,Guyana,"5,276",+40,149,+2,"4,252",+10,875,7,"6,695",189,"28,878","36,643","788,095",South America,149,"5,289",27
144,Mayotte,"5,181",,49,,"2,964",,"2,168",4,"18,810",178,"25,231","91,603","275,439",Africa,53,"5,621",11
145,Equatorial Guinea,"5,146",+9,85,,"5,005",,56,,"3,621",60,"70,108","49,331","1,421,179",Africa,276,"16,720",20
146,Uruguay,"5,117",+129,74,+1,"4,021",+98,"1,022",11,"1,471",21,"416,093","119,614","3,478,631",South America,680,"47,009",8
147,CAR,"4,913",+2,63,,"1,924",,"2,926",2,"1,010",13,"32,711","6,726","4,863,478",Africa,990,"77,198",149
148,Aruba,"4,791",+13,45,,"4,640",+8,106,4,"44,797",421,"48,137","450,089","106,950",North America,22,"2,377",2
149,Mali,"4,505",+44,148,,"3,076",+16,"1,281",,220,7,"94,981","4,637","20,482,120",Africa,"4,547","138,393",216
150,Somalia,"4,451",+6,113,,"3,417",+5,921,,277,7,,,"16,069,221",Africa,"3,610","142,205",
151,Thailand,"3,942",+16,60,,"3,788",+8,94,1,56,0.9,"977,854","13,995","69,871,341",Asia,"17,725","1,164,522",71
152,Gambia,"3,728",+1,123,,"3,588",+1,17,2,"1,526",50,"24,524","10,036","2,443,611",Africa,655,"19,867",100
153,South Sudan,"3,092",+19,61,,"2,949",+11,82,,275,5,"56,848","5,055","11,246,719",Africa,"3,637","184,372",198
154,Benin,"2,974",,43,,"2,579",,352,,243,4,"294,009","24,002","12,249,476",Africa,"4,119","284,872",42
155,Togo,"2,904",+15,64,,"2,345",+25,495,,348,8,"145,444","17,406","8,356,116",Africa,"2,877","130,564",57
156,Burkina Faso,"2,777",,68,,"2,567",,142,,131,3,,,"21,130,904",Africa,"7,609","310,749",
157,Guinea-Bissau,"2,422",,43,,"2,309",,70,5,"1,219",22,"29,037","14,617","1,986,550",Africa,820,"46,199",68
158,Sierra Leone,"2,409",+1,74,,"1,831",+2,504,,300,9,,,"8,041,903",Africa,"3,338","108,674",
159,Yemen,"2,137",+13,612,+1,"1,484",+10,41,4,71,20,"16,855",560,"30,088,378",Asia,"14,080","49,164","1,785"
160,Lesotho,"2,109",+17,44,,"1,278",+1,787,,981,20,"25,687","11,952","2,149,133",Africa,"1,019","48,844",84
161,Curaçao,"2,046",+117,3,,"1,078",+21,965,9,"12,448",18,"20,203","122,915","164,366",North America,80,"54,789",8
162,New Zealand,"2,040",+1,25,,"1,955",,60,,408,5,"1,252,601","250,415","5,002,100",Australia/Oceania,"2,452","200,084",4
163,Chad,"1,661",+6,101,,"1,496",+2,64,,100,6,,,"16,612,784",Africa,"10,002","164,483",
164,Liberia,"1,591",+13,83,,"1,340",,168,2,312,16,"34,105","6,681","5,105,093",Africa,"3,209","61,507",150
165,San Marino,"1,514",+22,44,,"1,231",+10,239,10,"44,582","1,296","16,307","480,183","33,960",Europe,22,772,2
166,Niger,"1,443",+24,70,,"1,182",+12,191,9,59,3,"44,950","1,831","24,551,210",Africa,"17,014","350,732",546
167,Vietnam,"1,331",+10,35,,"1,166",+13,130,,14,0.4,"1,339,465","13,711","97,693,204",Asia,"73,398","2,791,234",73
168,Liechtenstein,"1,208",+25,14,,"1,010",+25,184,12,"31,645",367,"14,040","367,799","38,173",Europe,32,"2,727",3
169,Channel Islands,"1,147",,48,,960,,139,10,"6,573",275,"199,491","1,143,136","174,512",Europe,152,"3,636",1
170,Sint Maarten,"1,041",+5,25,,928,+9,88,6,"24,168",580,"7,200","167,158","43,073",North America,41,"1,723",6
171,Gibraltar,991,,5,,903,+8,83,3,"29,418",148,"87,583","2,599,905","33,687",Europe,34,"6,737",0
